code_site,libelle_site,code_station,libelle_station,type_station,coordonnee_x_station,coordonnee_y_station,code_projection,longitude_station,latitude_station,influence_locale_station,commentaire_station,altitude_ref_alti_station,code_systeme_alti_site,code_commune_station,libelle_commune,code_departement,code_region,libelle_region,code_cours_eau,libelle_cours_eau,uri_cours_eau,descriptif_station,date_maj_station,date_ouverture_station,date_fermeture_station,commentaire_influence_locale_station,code_regime_station,qualification_donnees_station,code_finalite_station,type_contexte_loi_stat_station,type_loi_station,code_sandre_reseau_station,date_debut_ref_alti_station,date_activation_ref_alti_station,date_maj_ref_alti_station,libelle_departement,en_service,geometry
O0355020,Le Garbet à Aulus-les-Bains,O035502001,Le Garbet à Aulus-les-Bains,STD,567462.0,6185280.0,26,1.382762423,42.75485595,1.0,,,,09029,AULUS-LES-BAINS,09,76,OCCITANIE,O0350500,Le Garbet,http://id.eaufrance.fr/CEA/O0350500,,2021-05-12T00:00:00Z,1908-01-01T00:00:00Z,1964-01-01T00:00:00Z,,1,20,1 2,1.0,2.0,,,,,ARIEGE,False,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.3827624234056732, 42.75485595044978]}"
O0355030,Le Garbet à Oust,O035503001,Le Garbet à Oust,STD,555762.0,6197544.0,26,1.236702516,42.862855841,1.0,,,,09223,OUST,09,76,OCCITANIE,O0350500,Le Garbet,http://id.eaufrance.fr/CEA/O0350500,,2021-05-12T00:00:00Z,1912-01-01T00:00:00Z,1940-01-01T00:00:00Z,,1,20,1 2,1.0,2.0,,,,,ARIEGE,False,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.2367025155189166, 42.86285584095936]}"
O0355320,L'Ars à Aulus-les-Bains [Aulus 2],O035532001,L'Ars à Aulus-les-Bains [Aulus 2],STD,565080.0,6188494.0,26,1.352887516,42.783306083,1.0,,,,09029,AULUS-LES-BAINS,09,76,OCCITANIE,O0350530,Rivière d'Ars,http://id.eaufrance.fr/CEA/O0350530,,2021-05-12T00:00:00Z,1912-01-01T00:00:00Z,1972-03-02T00:00:00Z,,1,20,1 2,1.0,2.0,,,,,ARIEGE,False,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.3528875162164666, 42.78330608284449]}"
O0355610,Le Fouillet à Aulus-les-Bains,O035561001,Le Fouillet à Aulus-les-Bains,STD,563391.0,6189453.0,26,1.332026916,42.791608494,1.0,,,,09029,AULUS-LES-BAINS,09,76,OCCITANIE,O0350560,Ruisseau du Fouillet,http://id.eaufrance.fr/CEA/O0350560,,2021-05-12T00:00:00Z,1907-01-01T00:00:00Z,1972-03-02T00:00:00Z,,1,20,1 2,1.0,2.0,,,,,ARIEGE,False,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.3320269155715092, 42.79160849399903]}"
O0362510,Le Salat à Soueix-Rogalle [Kercabanac],O036251001,Le Salat à Soueix-Rogalle [Kercabanac],STD,553956.0,6202677.0,26,1.213212104,42.908637896,1.0,Débits naturels.,459000.0,2.0,09299,SOUEIX-ROGALLE,09,76,OCCITANIE,O0--0250,Le Salat,http://id.eaufrance.fr/CEA/O0--0250,,2021-05-12T00:00:00Z,1931-01-01T00:00:00Z,,,1,20,1 2,1.0,2.0,"['POH015', 'POH115', 'POH034', 'POH901']",1931-01-01T00:00:00Z,2013-11-18T00:00:00Z,2013-11-18T00:00:00Z,ARIEGE,True,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.213212103844787, 42.90863789623695]}"
O0362520,Le Salat à Soueix-Rogalle [Brousset],O036252001,Le Salat à Soueix-Rogalle [Brousset],STD,553828.0,6200406.0,26,1.212275556,42.88819476,1.0,,477000.0,2.0,09299,SOUEIX-ROGALLE,09,76,OCCITANIE,O0--0250,Le Salat,http://id.eaufrance.fr/CEA/O0--0250,,2024-08-05T00:00:00Z,1987-04-13T00:00:00Z,,,1,12,2,1.0,2.0,"['POH015', 'POH115', 'RIC053', 'POH034', 'RIC303', 'POH901']",1987-04-13T00:00:00Z,2013-11-18T00:00:00Z,2018-11-07T00:00:00Z,ARIEGE,True,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.2122755559693945, 42.8881947603223]}"
O0384010,L'Arac à Soulan [Freychet],O038401001,L'Arac à Soulan [Freychet],STD,555453.0,6201587.0,26,1.231819697,42.899141352,1.0,Débits naturels.,480000.0,3.0,09301,SOULAN,09,76,OCCITANIE,O03-0400,L'Arac,http://id.eaufrance.fr/CEA/O03-0400,,2024-07-12T00:00:00Z,1900-12-12T00:00:00Z,,,1,20,1 2,1.0,2.0,"['POH015', 'POH115', 'RIC053', 'POH034', 'RIC303', 'POH901']",2024-07-12T00:00:00Z,2024-07-12T00:00:00Z,2024-07-12T00:00:00Z,ARIEGE,True,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.2318196965855657, 42.89914135175433]}"
O0384020,L'Arac à Soulan [Castet d'Aleu],O038402001,L'Arac à Soulan [Castet d'Aleu],STD,556987.0,6202691.0,26,1.250279073,42.909374094,1.0,,,,09301,SOULAN,09,76,OCCITANIE,O03-0400,L'Arac,http://id.eaufrance.fr/CEA/O03-0400,,2021-05-12T00:00:00Z,1910-01-01T00:00:00Z,1941-01-01T00:00:00Z,,1,20,1 2,1.0,2.0,,,,,ARIEGE,False,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.2502790732876432, 42.90937409429654]}"
O0384030,L'Arac à Massat,O038403001,L'Arac à Massat,STD,565020.0,6200626.0,26,1.34905906,42.892363939,,,623431.0,3.0,09182,MASSAT,09,76,OCCITANIE,O03-0400,L'Arac,http://id.eaufrance.fr/CEA/O03-0400,,2024-07-15T00:00:00Z,1989-01-01T00:00:00Z,,,1,16,2,1.0,2.0,"['POH015', 'POH115', 'POH034', 'POH901']",2024-07-15T00:00:00Z,2024-07-15T00:00:00Z,2024-07-15T00:00:00Z,ARIEGE,True,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.3490590595356968, 42.89236393940737]}"
O0384031,[Source La Courate] à Ercé,O038403101,[Source La Courate] à Ercé,STD,558880.0,6198427.0,26,1.274571702,42.871413539,0.0,Source à usage AEP ne donnant pas naissance à un cours d'eau. Hauteur mesurée en amont du prélèvement d'eau potable.seuil de mesure: crête mince en V 35°,,,09113,ERCE,09,76,OCCITANIE,O0381240,,http://id.eaufrance.fr/CEA/O0381240,,2021-01-19T00:00:00Z,2014-12-05T00:00:00Z,,,1,20,7 1,,,,,,,ARIEGE,True,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.2745717022051648, 42.87141353936257]}"
O0392520,Le Salat à Soueix-Rogalle [Kercabanac 1],O039252001,Le Salat à Soueix-Rogalle [Kercabanac 1],STD,553892.0,6202888.0,26,1.212370925,42.910521854,1.0,,,,09299,SOUEIX-ROGALLE,09,76,OCCITANIE,O0--0250,Le Salat,http://id.eaufrance.fr/CEA/O0--0250,,2021-05-12T00:00:00Z,1909-01-01T00:00:00Z,1930-12-31T00:00:00Z,,1,20,1 2,1.0,2.0,,,,,ARIEGE,False,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.2123709253099664, 42.910521853588754]}"
O0444010,Le Lez aux Bordes-sur-Lez,O044401001,Le Lez aux Bordes-sur-Lez,STD,538870.9880673,6202345.4529682,26,1.028827547,42.902429503,1.0,Débits influencés par ARAING. Station déplacée en rive gauche en aval du pont le 01/12/2011 avec nouvelle échelle.,549000.0,1.0,09062,BORDES-UCHENTEIN,09,76,OCCITANIE,O04-0400,Le lez,http://id.eaufrance.fr/CEA/O04-0400,,2025-04-10T00:00:00Z,1971-01-01T00:00:00Z,,,2,20,1 2,1.0,2.0,"['POH015', 'POH115', 'POH034', 'POH901']",2024-07-12T00:00:00Z,2024-07-12T00:00:00Z,2025-04-10T00:00:00Z,ARIEGE,True,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.028827547451768, 42.902429502897355]}"
O0444011,[Source Fontaine Blanche] aux Bordes-sur-Lez,O044401101,[Source Fontaine Blanche] aux Bordes-sur-Lez,STD,538994.0,6199269.0,26,1.03126995,42.874800473,0.0,"La source de la Fontaine Blanche alimente, sans lui donner naissance, le ruisseau de l'Etruc (FRFRR181-5). La hauteur d'eau est mesurée en amont d'un seuil rectangulaire à crête épaisse de 40 cm de largeur.",,,09062,BORDES-UCHENTEIN,09,76,OCCITANIE,O0441170,,http://id.eaufrance.fr/CEA/O0441170,,2021-01-19T00:00:00Z,2015-09-03T00:00:00Z,,,1,20,7 1,,,,,,,ARIEGE,True,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.0312699496376734, 42.87480047312473]}"
O0484010,Le Lez à Engomer [Balaguères],O048401001,Le Lez à Engomer [Balaguères],STD,541150.0,6207521.0,26,1.055137355,42.949466386,1.0,Débits influencés par ARAING,455000.0,2.0,09111,ENGOMER,09,76,OCCITANIE,O04-0400,Le lez,http://id.eaufrance.fr/CEA/O04-0400,,2024-08-05T00:00:00Z,1970-01-01T00:00:00Z,,,1,20,1 2,1.0,2.0,"['POH015', 'POH115', 'RIC053', 'POH034', 'RIC303', 'POH901']",1970-01-01T00:00:00Z,2013-11-18T00:00:00Z,2024-08-05T00:00:00Z,ARIEGE,True,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.0551373546315803, 42.949466386083145]}"
O0485110,Le Lachein à Balaguères [Baget - Las Hountas],O048511001,Le Lachein à Balaguères [Baget - Las Hountas],STD,539185.0,6208224.0,26,1.030874407,42.955348661,2.0,CNRS Fédération de Recherche en Ecologie de Toulouse (FRET) 09200 Saint-Girons. Laboratoire de Moulis. M. Dominique d'Hulst. Tél : 05 61 04 03 67 Le 25/11/2009 : le BRGM remplace la DIREN Midi-Pyrénées en tant que producteur principal.,,,09035,BALAGUERES,09,76,OCCITANIE,O0480520,Ruisseau de Lachein,http://id.eaufrance.fr/CEA/O0480520,,2025-02-28T00:00:00Z,1968-01-01T00:00:00Z,,,1,20,1 2 5,1.0,2.0,"['500000017', 'POH205']",,,,ARIEGE,True,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.0308744074354166, 42.95534866065396]}"
O0494010,Le Lez à Saint-Girons,O049401001,Le Lez à Saint-Girons,STD,547589.0,6211053.0,26,1.132920251,42.98261869,1.0,,,,09261,SAINT-GIRONS,09,76,OCCITANIE,O04-0400,Le lez,http://id.eaufrance.fr/CEA/O04-0400,,2021-05-12T00:00:00Z,1905-01-01T00:00:00Z,1941-01-01T00:00:00Z,,1,20,1 2,1.0,2.0,,,,,ARIEGE,False,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.1329202514705372, 42.98261868992329]}"
O0502520,Le Salat à Saint-Lizier [Saint Girons],O050252001,Le Salat à Saint-Lizier [Saint Girons],STD,548287.0,6211980.0,26,1.141200517,42.991101293,1.0,,,,09268,SAINT-LIZIER,09,76,OCCITANIE,O0--0250,Le Salat,http://id.eaufrance.fr/CEA/O0--0250,,2021-05-12T00:00:00Z,1905-01-01T00:00:00Z,1942-01-01T00:00:00Z,,1,20,1 2,1.0,2.0,,,,,ARIEGE,False,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.141200517468459, 42.991101293206526]}"
O0502520,Le Salat à Saint-Lizier [Saint Girons],O050252002,Le Salat à Saint-Lizier [Saint Girons],STD,548262.0,6212025.0,26,1.14088135,42.991500591,1.0,Débits influencés par les aménagements amont sur le Lez et le Salat entre l'Izard et la Garonne (réserve d'ARAING).,381000.0,2.0,09268,SAINT-LIZIER,09,76,OCCITANIE,O0--0250,Le Salat,http://id.eaufrance.fr/CEA/O0--0250,,2024-08-05T00:00:00Z,1974-01-01T00:00:00Z,,,1,20,2,1.0,2.0,"['POH015', 'POH115', 'RIC004', 'RIC103', 'RIC053', 'POH034', 'RIC253', 'RIC303', 'POH901']",1974-01-01T00:00:00Z,2013-11-18T00:00:00Z,2019-08-29T00:00:00Z,ARIEGE,True,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.140881350079574, 42.9915005908067]}"
O0525010,Le Gouarège à Cazavet [Aliou],O052501001,Le Gouarège à Cazavet [Aliou],STD,540756.0,6212075.0,26,1.048938028,42.990321642,2.0,CNRS Laboratoire de Moulis. Fédération de Recherche en Ecologie de Toulouse. (FRET) 09200 Saint Girons M. Alain MANGIN mangin.cnrs@free.fr Dominique.dhulst@lsm.cnrs.fr Tél : 05 61 04 03 67 Fax : 05 61 96 08 51 Le 25/11/2009 : le BRGM remplace la Diren Midi-Pyrénées en tant que producteur principal.,,,09091,CAZAVET,09,76,OCCITANIE,O0520500,Ruisseau de la Gouarège,http://id.eaufrance.fr/CEA/O0520500,,2025-02-28T00:00:00Z,1969-01-01T00:00:00Z,,,1,20,1 2 5,1.0,2.0,"['500000017', 'POH205']",,,,ARIEGE,True,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.048938028438488, 42.99032164156182]}"
O0584310,Le Lens à Betchat,O058431001,Le Lens à Betchat,STD,540624.0,6224176.0,26,1.04364888,43.09909289,1.0,,310000.0,2.0,09054,BETCHAT,09,76,OCCITANIE,O05-0430,Le Lens,http://id.eaufrance.fr/CEA/O05-0430,,2021-01-19T00:00:00Z,1975-10-01T00:00:00Z,2004-05-04T00:00:00Z,,1,20,1 2,1.0,2.0,,1975-10-01T00:00:00Z,2013-11-18T00:00:00Z,2017-08-09T00:00:00Z,ARIEGE,False,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.0436488800354418, 43.09909289037618]}"
O0624010,Le Volp à Montberaud et à Sainte-Croix-Volvestre,O062401001,Le Volp à Sainte-Croix-Volvestre,STD,548710.0,6229062.0,26,1.141456072,43.144783303,1.0,,274000.0,2.0,09257,SAINTE-CROIX-VOLVESTRE,09,76,OCCITANIE,O06-0400,Le Volp,http://id.eaufrance.fr/CEA/O06-0400,,2023-04-20T00:00:00Z,1968-01-01T00:00:00Z,,,1,20,1,1.0,2.0,"['BSH102', 'BSH159', 'POH015', 'POH034', 'POH115', 'POH901']",1968-01-01T00:00:00Z,2013-11-18T00:00:00Z,2019-08-29T00:00:00Z,ARIEGE,True,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.141456072045767, 43.14478330287177]}"
O0714020,L'Arize à la Bastide-de-Sérou,O071402001,L'Arize à la Bastide-de-Sérou,STD,571691.0,6213588.0,26,1.427473149,43.010132316,,,393564.0,3.0,09042,BASTIDE-DE-SEROU,09,76,OCCITANIE,O07-0400,L'Arize,http://id.eaufrance.fr/CEA/O07-0400,,2024-08-05T00:00:00Z,1987-01-01T00:00:00Z,,,1,16,2,1.0,2.0,"['POH015', 'POH115', 'RIC053', 'POH034', 'RIC303', 'POH901']",2012-08-06T00:00:00Z,2024-08-05T00:00:00Z,2024-08-05T00:00:00Z,ARIEGE,True,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.4274731487788492, 43.01013231635214]}"
O0714021,Le ruisseau de Bésole à Esplas-de-Sérou [Source de Bésole],O071402101,Le ruisseau de Bésole à Esplas-de-Sérou [Source de Bésole],STD,565723.0,6208708.0,26,1.355596679,42.965160601,0.0,"Source à usage AEP dont le trop plein participe à l'alimentation du ruisseau de Bésole, sans lui donner naissance. Hauteur mesurée en amont du prélèvement d'eau potable.Seuil de mesure: crête mince rectangulaire de 40 cm de large",,,09118,ESPLAS-DE-SEROU,09,76,OCCITANIE,O0710840,Ruisseau de Bésole,http://id.eaufrance.fr/CEA/O0710840,,2022-06-29T00:00:00Z,2015-09-25T00:00:00Z,,,1,20,7 1,,,,,,,ARIEGE,True,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.3555966794816563, 42.96516060100679]}"
O0744020,L'Arize à Sabarat [Radelangue],O074402001,L'Arize à Sabarat [Radelangue],STD,567450.0,6221966.0,26,1.373395978,43.08469445,1.0,,271000.0,2.0,09253,SABARAT,09,76,OCCITANIE,O07-0400,L'Arize,http://id.eaufrance.fr/CEA/O07-0400,,2021-05-12T00:00:00Z,1968-02-01T00:00:00Z,1986-01-01T00:00:00Z,,1,20,1 2,1.0,2.0,,1968-02-01T00:00:00Z,2013-11-18T00:00:00Z,2013-11-18T00:00:00Z,ARIEGE,False,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.373395978233787, 43.08469444952801]}"
O0744040,L'Arize au Mas-d'Azil,O074404001,L'Arize au Mas-d'Azil - HE,STD,566442.0,6221793.0,26,1.361073776,43.082951352,1.0,Débits naturels,279970.0,3.0,09181,MAS-D'AZIL,09,76,OCCITANIE,O07-0400,L'Arize,http://id.eaufrance.fr/CEA/O07-0400,HE,2024-08-05T00:00:00Z,1974-01-01T00:00:00Z,,,1,12,2,1.0,2.0,"['POH015', 'POH115', 'RIC004', 'RIC103', 'RIC053', 'POH034', 'RIC253', 'RIC303', 'POH901']",2012-08-05T00:00:00Z,2024-08-05T00:00:00Z,2024-08-05T00:00:00Z,ARIEGE,True,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.3610737762460372, 43.082951351862455]}"
O0744040,L'Arize au Mas-d'Azil,O074404002,L'Arize au Mas-d'Azil - Collège,STD,566842.0,6221486.0,26,1.366058825,43.080265316,,,281000.0,3.0,09181,MAS-D'AZIL,09,76,OCCITANIE,O07-0400,L'Arize,http://id.eaufrance.fr/CEA/O07-0400,Collège,2025-04-23T00:00:00Z,2007-04-01T00:00:00Z,,,1,16,,1.0,2.0,"['POH015', 'POH115', 'POH034', 'POH901']",2024-07-15T00:00:00Z,2024-07-15T00:00:00Z,2024-07-15T00:00:00Z,ARIEGE,True,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.3660588246676346, 43.08026531563975]}"
O1000001,[Source Les Goutils] à l'Hospitalet-près-l'Andorre,O100000101,[Source Les Goutils] à l'Hospitalet-près-l'Andorre,STD,602184.0,6167460.0,26,1.809644479,42.600213946,0.0,Source à usage AEP dont l'eau non prélevée participe à l'alimentation de la rivière Ariège Hauteur mesurée en amont du prélèvement d'eau .Seuil rectangulaire à crête épaisse de 80 cm de large.,,,09139,HOSPITALET-PRES-L'ANDORRE,09,76,OCCITANIE,O1001020,,http://id.eaufrance.fr/CEA/O1001020,,2021-01-19T00:00:00Z,2015-12-04T00:00:00Z,,,1,16,7 1,,,,,,,ARIEGE,True,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.8096444785085521, 42.60021394640589]}"
